"OldName","NewName","Folder","Description","Candidate","Line"
"heures d'insertion","heures d'insertion","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1788"
"Indice de pauvreté","Indice de pauvreté","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3871"
"Livraisons cumulées alt","Livraisons cumulées alt","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1140"
"Logements 2023","Logements 2023","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1696"
"Logements indécents","Logements indécents","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2698"
"Mesure","Mesure","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","965"
"Mesure 2","Mesure 2","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1713"
"Mesure 3","Mesure 3","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1969"
"Mesure 4","Mesure 4","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2689"
"Mesure 5","Mesure 5","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2825"
"Mesure 6","Mesure 6","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3998"
"Mesure 7","Mesure 7","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","4024"
"Mises en chantier","Mises en chantier","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1782"
"Mises en chantier Réhab","Mises en chantier Réhab","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1740"
"Mobilité 2024","Mobilité 2024","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1765"
"MoisDecembre","MoisDecembre","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3400"
"Moyenne Glissante 12m Vac fi","Moyenne Glissante 12m Vac fi","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","12"
"Nb jour vac YTD","Nb jour vac YTD","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1590"
"Nb NA","Nb NA","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3122"
"Nb PLS","Nb PLS","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3227"
"Nombre d'entrée PP","Nombre d'entrée PP","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","659"
"Nombre d'entrée PP YTD","Nombre d'entrée PP YTD","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","390"
"Objectif annuel vac fi","Objectif annuel vac fi","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","382"
"Objectif encaissement","Objectif encaissement","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","960"
"Objectif vac fi à date","Objectif vac fi à date","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","851"
"Parcelles","Parcelles","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3860"
"Quitm_ca_calculé","Quitm_ca_calculé","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2701"
"Quitm_CA_Operation_Annuel","Quitm_CA_Operation_Annuel","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2520"
"Quittancement Commerces","Quittancement Commerces","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3694"
"Quittancement Commerces YTD","Quittancement Commerces YTD","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3700"
"Quittancement m1","Quittancement m1","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3782"
"Ratio contrôle","Ratio contrôle","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1272"
"Réhabilitations Livrées","Réhabilitations Livrées","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1737"
"Réservations PSLA :","Réservations PSLA :","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1729"
"Salaire injectés","Salaire injectés","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1792"
"Satisfaction globale","Satisfaction globale","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","954"
"Satisfaction réclamation","Satisfaction réclamation","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","957"
"Soldem_ca_operation_+ yc PP_presents","Soldem_ca_operation_+ yc PP_presents","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1704"
"Soldem_ca_operation_+_Absent","Soldem_ca_operation_+_Absent","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","647"
"Soldem_ca_operation_+_LOC","Soldem_ca_operation_+_LOC","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","373"
"Sorties 2024","Sorties 2024","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1757"
"T1","T1","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2914"
"Taux - 20 jours réclamation 2024","Taux - 20 jours réclamation 2024","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1811"
"Taux Paiement HPP M","Taux Paiement HPP M","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2232"
"Taux Paiement HPP M-1","Taux Paiement HPP M-1","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2246"
"Taux Paiement HPP M-12","Taux Paiement HPP M-12","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2260"
"Taux_Mobilité_YoY_YTD_Dyn","Taux_Mobilité_YoY_YTD_Dyn","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","866"
"test","test","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3787"
"Total logements","Total logements","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1873"
"TotalVacanceMEL_ug","TotalVacanceMEL_ug","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3335"
"Tx dématérialisation","Tx dématérialisation","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3911"
"Tx Encaissement HPP Soldes_CA_Operation N-1","Tx Encaissement HPP Soldes_CA_Operation N-1","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1178"
"Tx Mutation","Tx Mutation","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2753"
"tx vac fi comm recalcul","tx vac fi comm recalcul","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1321"
"Tx Vac Mensuelle","Tx Vac Mensuelle","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","679"
"Tx Vac Mensuelle TxVacCommm","Tx Vac Mensuelle TxVacCommm","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","706"
"Tx Vac Mensuelle TxVacMELm","Tx Vac Mensuelle TxVacMELm","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","732"
"Tx Vac Mensuelle TxVacStratm","Tx Vac Mensuelle TxVacStratm","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","758"
"Tx Vac Mensuelle TxVacTechm","Tx Vac Mensuelle TxVacTechm","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","784"
"Tx_recouvrement_impayé","Tx_recouvrement_impayé","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","177"
"Vacance Financière Commerce et Logement HC M","Vacance Financière Commerce et Logement HC M","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3836"
"Vacance Financière Commerce et Logement HC YTD","Vacance Financière Commerce et Logement HC YTD","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3842"
"Vacance financière commerciale COM","Vacance financière commerciale COM","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3642"
"Vacance Financière Commerciale COM YTD","Vacance Financière Commerciale COM YTD","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3668"
"Vacance Financière Stratégique COM","Vacance Financière Stratégique COM","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3656"
"Vacance Financière Stratégique COM YTD","Vacance Financière Stratégique COM YTD","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3662"
"vacance financière totale","vacance financière totale","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","833"
"vacance mensuelle rali","vacance mensuelle rali","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1512"
"VacanceFinanciereHCYTDRecalcule","VacanceFinanciereHCYTDRecalcule","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1656"
"VacanceFinanciereYTD","VacanceFinanciereYTD","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1371"
"VacanceFinancièreYTD_LastPériode","VacanceFinancièreYTD_LastPériode","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3"
"variation dette","variation dette","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","77"
"Ventes","Ventes","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1117"
"Ventes 2024","Ventes 2024","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1718"
